name,latitude,longitude
TULANGBAWANG BARAT,-4.5256967,105.0791228
PRINGSEWU,-5.3539884,104.9622498
MESUJI,-4.0044783,105.3131185
ANAMBAS,3.1055459,105.6537231
SLEMAN,-7.716165,110.335403
LOMBOK UTARA,-8.3739076,116.2777073
SABU RAIJUA,-10.5541116,121.8334868
BOLANG MONGONDOW TIMUR,0.7152651,124.4641848
BOLANG MONGONDOW SELATAN,0.4053215,123.8411288
SIGI,-1.3834127,120.0665236
TORAJA UTARA,-2.8621942,119.8352303
MALUKU BARAT DAYA,-7.7851588,126.3498097
BURU,-3.3927754,126.7819505
PULAU MOROTA,2.3656672,128.4008357
TAMBRAUW,-0.781856,132.3938375
MAYBAT,3.1472,101.6997
MEMBERAMO TENGAH,-2.3745692,138.3190276
YALIMO,-3.7852847,139.4466005
LANNY JAYA,-3.971033,138.3190276
NDUGA,-4.4069496,138.2393528
PUNCAK,-6.7125476,106.9542425
DOGIYAI,-4.0193872,135.9610446
INTAN JAYA,-3.5076422,136.7478493
DEIYAI,-4.0974893,136.4393054
